year, name, level,id,avgSalary,employees
2014,"Management occupations",2,110000,87851.9,13907169
2015,"Management occupations",2,110000,89842,14482769
2014,"Management, business, & financial occupations",1,110000-130000,82469.1,20695927
2015,"Management, business, & financial occupations",1,110000-130000,84231.9,21415130
2014,"Management, business, science, & arts occupations",0,110000-290000,70827.7,52106585
2015,"Management, business, science, & arts occupations",0,110000-290000,72398.9,53417813
2014,"General & operations managers",3,111021,84467.2,820163
2015,"General & operations managers",3,111021,85517.3,893042
2014,"Chief executives & legislators",3,1110XX,153964,1129730
2015,"Chief executives & legislators",3,1110XX,162724,1154041
2014,"Advertising & promotions managers",3,112011,73508,51962
2015,"Advertising & promotions managers",3,112011,76569.7,43016
2014,"Marketing & sales managers",3,112020,96675.2,843208
2015,"Marketing & sales managers",3,112020,98249.8,917775
2014,"Public relations & fundraising managers",3,112031,86040.9,58005
2015,"Public relations & fundraising managers",3,112031,81796.6,58724
2014,"Administrative services managers",3,113011,71545.3,140634
2015,"Administrative services managers",3,113011,68414.2,148039
2014,"Computer & information systems managers",3,113021,106766,544636
2015,"Computer & information systems managers",3,113021,109153,577986
2014,"Financial managers",3,113031,95852.5,1110767
2015,"Financial managers",3,113031,100194,1159394
2014,"Industrial production managers",3,113051,85102.5,240008
2015,"Industrial production managers",3,113051,83549.4,237648
2014,"Purchasing managers",3,113061,82101.9,187147
2015,"Purchasing managers",3,113061,80989.6,194471
2014,"Transportation, storage, & distribution managers",3,113071,58310.9,222606
2015,"Transportation, storage, & distribution managers",3,113071,58846.9,237496
2014,"Compensation & benefits managers",3,113111,101856,15006
2015,"Compensation & benefits managers",3,113111,83102.3,18940
2014,"Human resources managers",3,113121,80673.4,370752
2015,"Human resources managers",3,113121,82273.5,394237
2014,"Training & development managers",3,113131,76409.1,58314
2015,"Training & development managers",3,113131,75818.2,64140
2014,"Farmers, ranchers, & other agricultural managers",3,119013,50668.9,255876
2015,"Farmers, ranchers, & other agricultural managers",3,119013,52869.4,258716
2014,"Construction managers",3,119021,77989.2,494048
2015,"Construction managers",3,119021,79336.8,506818
2014,"Education administrators",3,119030,69362.8,857286
2015,"Education administrators",3,119030,69374.8,876961
2014,"Architectural & engineering managers",3,119041,143592,145246
2015,"Architectural & engineering managers",3,119041,145556,153419
2014,"Food service managers",3,119051,42737.8,889006
2015,"Food service managers",3,119051,41938.2,915937
2014,"Gaming managers",3,119071,54181.7,16873
2015,"Gaming managers",3,119071,53370.8,18496
